datetime,open,high,low,close,volume
2025-05-19 13:48:00+05:30,24974.7,24978.2,24972.0,24974.35,0
2025-05-19 13:49:00+05:30,24973.8,24977.05,24973.0,24974.75,0
2025-05-19 13:50:00+05:30,24977.65,24977.65,24970.45,24972.5,0
2025-05-19 13:51:00+05:30,24971.95,24976.9,24970.75,24975.75,0
2025-05-19 13:52:00+05:30,24975.35,24978.5,24973.55,24977.8,0
2025-05-19 13:53:00+05:30,24977.95,24980.4,24975.1,24979.75,0
2025-05-19 13:54:00+05:30,24978.85,24984.8,24978.35,24983.4,0
2025-05-19 13:55:00+05:30,24982.75,24984.7,24979.0,24981.15,0
2025-05-19 13:56:00+05:30,24980.75,24981.15,24974.6,24977.4,0
2025-05-19 13:57:00+05:30,24976.55,24978.15,24972.55,24975.65,0
2025-05-19 13:58:00+05:30,24974.8,24979.5,24973.35,24975.7,0
2025-05-19 13:59:00+05:30,24976.35,24977.7,24973.0,24975.0,0
2025-05-19 14:00:00+05:30,24974.45,24977.9,24951.15,24953.85,0
2025-05-19 14:01:00+05:30,24953.5,24961.15,24951.3,24960.4,0
2025-05-19 14:02:00+05:30,24959.6,24963.3,24956.0,24957.3,0
2025-05-19 14:03:00+05:30,24957.2,24957.6,24951.55,24955.05,0
2025-05-19 14:04:00+05:30,24954.2,24956.35,24943.8,24949.5,0
2025-05-19 14:05:00+05:30,24952.45,24954.1,24940.2,24940.75,0
2025-05-19 14:06:00+05:30,24939.7,24943.45,24934.25,24940.55,0
2025-05-19 14:07:00+05:30,24939.75,24945.8,24936.75,24944.75,0
2025-05-19 14:08:00+05:30,24943.1,24946.65,24939.25,24946.55,0
2025-05-19 14:09:00+05:30,24945.65,24946.15,24938.3,24940.5,0
2025-05-19 14:10:00+05:30,24942.25,24942.25,24931.45,24932.2,0
2025-05-19 14:11:00+05:30,24932.15,24940.5,24931.2,24935.65,0
2025-05-19 14:12:00+05:30,24935.4,24936.0,24920.3,24921.95,0
2025-05-19 14:13:00+05:30,24920.6,24925.95,24919.3,24925.3,0
2025-05-19 14:14:00+05:30,24924.35,24941.95,24923.6,24940.35,0
2025-05-19 14:15:00+05:30,24940.2,24943.2,24935.75,24939.9,0
2025-05-19 14:16:00+05:30,24939.5,24952.5,24937.6,24951.85,0
2025-05-19 14:17:00+05:30,24951.95,24960.2,24950.7,24954.1,0
2025-05-19 14:18:00+05:30,24953.45,24955.1,24951.15,24953.5,0
2025-05-19 14:19:00+05:30,24953.35,24959.05,24952.75,24958.7,0
2025-05-19 14:20:00+05:30,24958.75,24960.55,24952.7,24956.75,0
2025-05-19 14:21:00+05:30,24955.6,24956.05,24948.25,24951.75,0
2025-05-19 14:22:00+05:30,24951.2,24952.25,24945.75,24947.75,0
2025-05-19 14:23:00+05:30,24946.85,24949.0,24944.85,24946.6,0
2025-05-19 14:24:00+05:30,24946.0,24949.8,24944.6,24947.0,0
2025-05-19 14:25:00+05:30,24950.2,24950.2,24942.6,24945.0,0
2025-05-19 14:26:00+05:30,24945.25,24951.7,24944.05,24949.55,0
2025-05-19 14:27:00+05:30,24949.05,24949.6,24942.35,24942.35,0
2025-05-19 14:28:00+05:30,24941.55,24943.25,24935.1,24937.25,0
2025-05-19 14:29:00+05:30,24936.95,24941.4,24935.75,24938.85,0
